Files already downloaded and verified
Files already downloaded and verified
Starting Mixup Training on CIFAR-100 with DenseNet (depth=40, growth_rate=12)...
Epoch 1/200 | Train Loss: 4.2866 | Train Acc: 0.0573 | Val Acc: 0.0930 | ECE: 0.0155 | Adaptive ECE: 0.0137 | OE: 0.0021
Epoch 2/200 | Train Loss: 4.0190 | Train Acc: 0.0985 | Val Acc: 0.1384 | ECE: 0.0368 | Adaptive ECE: 0.0373 | OE: 0.0066
Epoch 3/200 | Train Loss: 3.8587 | Train Acc: 0.1266 | Val Acc: 0.1912 | ECE: 0.0542 | Adaptive ECE: 0.0532 | OE: 0.0003
Epoch 4/200 | Train Loss: 3.6948 | Train Acc: 0.1593 | Val Acc: 0.2278 | ECE: 0.0474 | Adaptive ECE: 0.0474 | OE: 0.0000
Epoch 5/200 | Train Loss: 3.5942 | Train Acc: 0.1823 | Val Acc: 0.2694 | ECE: 0.0547 | Adaptive ECE: 0.0547 | OE: 0.0000
Epoch 6/200 | Train Loss: 3.4835 | Train Acc: 0.2081 | Val Acc: 0.2924 | ECE: 0.0679 | Adaptive ECE: 0.0677 | OE: 0.0001
Epoch 7/200 | Train Loss: 3.4058 | Train Acc: 0.2223 | Val Acc: 0.2668 | ECE: 0.0247 | Adaptive ECE: 0.0220 | OE: 0.0025
Epoch 8/200 | Train Loss: 3.3134 | Train Acc: 0.2454 | Val Acc: 0.3230 | ECE: 0.0658 | Adaptive ECE: 0.0647 | OE: 0.0005
Epoch 9/200 | Train Loss: 3.2559 | Train Acc: 0.2585 | Val Acc: 0.3090 | ECE: 0.0344 | Adaptive ECE: 0.0335 | OE: 0.0029
Epoch 10/200 | Train Loss: 3.2635 | Train Acc: 0.2604 | Val Acc: 0.3430 | ECE: 0.0515 | Adaptive ECE: 0.0515 | OE: 0.0000
Epoch 11/200 | Train Loss: 3.1890 | Train Acc: 0.2748 | Val Acc: 0.3526 | ECE: 0.0488 | Adaptive ECE: 0.0489 | OE: 0.0003
Epoch 12/200 | Train Loss: 3.1631 | Train Acc: 0.2846 | Val Acc: 0.3226 | ECE: 0.0221 | Adaptive ECE: 0.0246 | OE: 0.0030
Epoch 13/200 | Train Loss: 3.1298 | Train Acc: 0.2894 | Val Acc: 0.3764 | ECE: 0.0850 | Adaptive ECE: 0.0850 | OE: 0.0000
Epoch 14/200 | Train Loss: 3.1014 | Train Acc: 0.2966 | Val Acc: 0.3924 | ECE: 0.0765 | Adaptive ECE: 0.0750 | OE: 0.0007
Epoch 15/200 | Train Loss: 3.0757 | Train Acc: 0.3028 | Val Acc: 0.3478 | ECE: 0.0421 | Adaptive ECE: 0.0417 | OE: 0.0033
