Epoch,Train Loss,Train Acc,Val Acc,ECE,Adaptive ECE,OE
1,4.2866,0.0573,0.0930,0.0155,0.0137,0.0021
2,4.0190,0.0985,0.1384,0.0368,0.0373,0.0066
3,3.8587,0.1266,0.1912,0.0542,0.0532,0.0003
4,3.6948,0.1593,0.2278,0.0474,0.0474,0.0000
5,3.5942,0.1823,0.2694,0.0547,0.0547,0.0000
6,3.4835,0.2081,0.2924,0.0679,0.0677,0.0001
7,3.4058,0.2223,0.2668,0.0247,0.0220,0.0025
8,3.3134,0.2454,0.3230,0.0658,0.0647,0.0005
9,3.2559,0.2585,0.3090,0.0344,0.0335,0.0029
10,3.2635,0.2604,0.3430,0.0515,0.0515,0.0000
11,3.1890,0.2748,0.3526,0.0488,0.0489,0.0003
12,3.1631,0.2846,0.3226,0.0221,0.0246,0.0030
13,3.1298,0.2894,0.3764,0.0850,0.0850,0.0000
14,3.1014,0.2966,0.3924,0.0765,0.0750,0.0007
15,3.0757,0.3028,0.3478,0.0421,0.0417,0.0033
16,3.0673,0.3049,0.4066,0.0989,0.0989,0.0000
17,3.0385,0.3146,0.3622,0.0761,0.0753,0.0004
18,3.0063,0.3202,0.3994,0.1049,0.1038,0.0005
19,3.0615,0.3074,0.3458,0.0232,0.0273,0.0066
20,3.0281,0.3144,0.3168,0.0286,0.0301,0.0153
21,3.0080,0.3223,0.3728,0.0471,0.0465,0.0011
22,2.9971,0.3265,0.4126,0.0721,0.0727,0.0000
23,2.9627,0.3339,0.3608,0.0384,0.0358,0.0016
24,2.9762,0.3290,0.4052,0.0547,0.0545,0.0006
25,2.9515,0.3373,0.4214,0.0550,0.0559,0.0004
26,2.9689,0.3342,0.4052,0.0814,0.0814,0.0000
27,2.9771,0.3313,0.4140,0.0558,0.0554,0.0000
28,2.9603,0.3364,0.3814,0.0880,0.0864,0.0006
29,2.9396,0.3388,0.4202,0.0263,0.0267,0.0006
30,2.9364,0.3418,0.4168,0.0515,0.0514,0.0000
31,2.9503,0.3370,0.4176,0.1008,0.1006,0.0001
32,2.9366,0.3391,0.4686,0.1073,0.1073,0.0000
33,2.9411,0.3400,0.4320,0.0557,0.0542,0.0006
34,2.9152,0.3439,0.4210,0.0814,0.0813,0.0000
35,2.8830,0.3530,0.3984,0.0922,0.0915,0.0003
36,2.9416,0.3413,0.3924,0.0412,0.0409,0.0009
37,2.9188,0.3455,0.4184,0.0971,0.0971,0.0000
38,2.9443,0.3382,0.4080,0.0674,0.0671,0.0001
39,2.9363,0.3421,0.4566,0.0835,0.0816,0.0009
40,2.9174,0.3498,0.4110,0.0791,0.0787,0.0002
41,2.9012,0.3496,0.4340,0.0990,0.0990,0.0000
42,2.9004,0.3504,0.4374,0.0684,0.0657,0.0011
43,2.8885,0.3521,0.3922,0.0367,0.0414,0.0081
44,2.8874,0.3533,0.3630,0.0575,0.0597,0.0393
45,2.9158,0.3458,0.3712,0.0238,0.0235,0.0041
46,2.9298,0.3436,0.4388,0.0639,0.0634,0.0000
47,2.8772,0.3541,0.4410,0.0574,0.0575,0.0006
48,2.8985,0.3511,0.4554,0.1109,0.1109,0.0000
49,2.9213,0.3416,0.4226,0.0703,0.0693,0.0024
50,2.9263,0.3434,0.4182,0.0500,0.0501,0.0010
51,2.9063,0.3521,0.4388,0.0971,0.0967,0.0002
52,2.8875,0.3550,0.4214,0.1061,0.1060,0.0019
53,2.8912,0.3498,0.4750,0.0911,0.0911,0.0000
54,2.8898,0.3538,0.4540,0.0929,0.0929,0.0000
55,2.8667,0.3600,0.4046,0.0732,0.0725,0.0010
56,2.8879,0.3514,0.4440,0.0564,0.0556,0.0003
57,2.9130,0.3470,0.4594,0.0805,0.0805,0.0000
58,2.8957,0.3523,0.4278,0.0901,0.0897,0.0001
59,2.9034,0.3499,0.4526,0.0953,0.0953,0.0000
60,2.8267,0.3684,0.4318,0.0456,0.0456,0.0000
61,2.6850,0.4114,0.5742,0.1571,0.1571,0.0000
62,2.5892,0.4352,0.6008,0.1708,0.1708,0.0000
63,2.6100,0.4277,0.5930,0.1695,0.1695,0.0000
64,2.5863,0.4325,0.5964,0.1713,0.1713,0.0000
65,2.5311,0.4447,0.6020,0.1677,0.1677,0.0000
66,2.5194,0.4504,0.6184,0.1669,0.1669,0.0000
67,2.5203,0.4456,0.5958,0.1462,0.1462,0.0000
68,2.5511,0.4403,0.5998,0.1632,0.1632,0.0000
69,2.4834,0.4561,0.6088,0.1545,0.1537,0.0000
70,2.5565,0.4405,0.6082,0.1561,0.1561,0.0000
71,2.5138,0.4492,0.6148,0.1659,0.1659,0.0000
72,2.5094,0.4524,0.6088,0.1537,0.1537,0.0000
73,2.4969,0.4550,0.6182,0.1641,0.1641,0.0000
74,2.4996,0.4567,0.6212,0.1564,0.1564,0.0000
75,2.5045,0.4502,0.6168,0.1586,0.1586,0.0000
76,2.5039,0.4498,0.6148,0.1618,0.1618,0.0000
77,2.5630,0.4399,0.5988,0.1584,0.1578,0.0000
78,2.4667,0.4631,0.6142,0.1587,0.1587,0.0000
79,2.4978,0.4536,0.5992,0.1650,0.1650,0.0000
80,2.4100,0.4747,0.6058,0.1600,0.1600,0.0000
81,2.4183,0.4760,0.6160,0.1479,0.1479,0.0000
82,2.5002,0.4571,0.6006,0.1550,0.1546,0.0000
83,2.4838,0.4580,0.6148,0.1452,0.1452,0.0000
84,2.4826,0.4580,0.5978,0.1525,0.1525,0.0000
85,2.4959,0.4563,0.6124,0.1463,0.1459,0.0000
86,2.4763,0.4579,0.6216,0.1502,0.1502,0.0000
87,2.4256,0.4704,0.6220,0.1720,0.1720,0.0000
88,2.4404,0.4709,0.6212,0.1521,0.1521,0.0000
89,2.4981,0.4561,0.6142,0.1717,0.1717,0.0000
90,2.4452,0.4686,0.5930,0.1532,0.1527,0.0000
91,2.3273,0.4995,0.6428,0.1649,0.1649,0.0000
92,2.3631,0.4924,0.6520,0.1609,0.1609,0.0000
93,2.3989,0.4779,0.6490,0.1614,0.1614,0.0000
94,2.3987,0.4833,0.6510,0.1658,0.1658,0.0000
95,2.3428,0.4973,0.6502,0.1708,0.1708,0.0000
96,2.3274,0.5016,0.6598,0.1664,0.1664,0.0000
97,2.3946,0.4825,0.6482,0.1746,0.1746,0.0000
98,2.3649,0.4907,0.6358,0.1669,0.1669,0.0000
99,2.3751,0.4916,0.6448,0.1622,0.1622,0.0000
100,2.3080,0.5024,0.6592,0.1656,0.1656,0.0000
101,2.3585,0.4949,0.6470,0.1692,0.1692,0.0000
102,2.3412,0.4958,0.6590,0.1648,0.1648,0.0000
103,2.3930,0.4848,0.6528,0.1659,0.1659,0.0000
104,2.3385,0.4983,0.6568,0.1673,0.1673,0.0000
105,2.3540,0.4957,0.6560,0.1587,0.1587,0.0000
106,2.3831,0.4890,0.6434,0.1705,0.1705,0.0000
107,2.3229,0.5010,0.6462,0.1590,0.1590,0.0000
108,2.3716,0.4917,0.6502,0.1596,0.1596,0.0000
109,2.3060,0.5074,0.6538,0.1579,0.1579,0.0000
110,2.3734,0.4918,0.6486,0.1703,0.1703,0.0000
111,2.2909,0.5097,0.6562,0.1620,0.1620,0.0000
112,2.3353,0.4948,0.6534,0.1588,0.1588,0.0000
