Files already downloaded and verified
Files already downloaded and verified
Starting Mixup Training on CIFAR-100 with ResNet34 (pretrained=False)...
Epoch 1/200 | Train Loss: 4.5932 | Train Acc: 0.0186 | Val Acc: 0.0364 | ECE: 0.0061 | Adaptive ECE: 0.0073 | OE: 0.0000
Epoch 2/200 | Train Loss: 4.2754 | Train Acc: 0.0477 | Val Acc: 0.0738 | ECE: 0.0134 | Adaptive ECE: 0.0166 | OE: 0.0031
Epoch 3/200 | Train Loss: 4.0796 | Train Acc: 0.0832 | Val Acc: 0.1366 | ECE: 0.0334 | Adaptive ECE: 0.0266 | OE: 0.0016
Epoch 4/200 | Train Loss: 3.8827 | Train Acc: 0.1229 | Val Acc: 0.1760 | ECE: 0.0164 | Adaptive ECE: 0.0172 | OE: 0.0045
Epoch 5/200 | Train Loss: 3.6593 | Train Acc: 0.1666 | Val Acc: 0.2236 | ECE: 0.0223 | Adaptive ECE: 0.0320 | OE: 0.0088
Epoch 6/200 | Train Loss: 3.4776 | Train Acc: 0.2101 | Val Acc: 0.2868 | ECE: 0.0735 | Adaptive ECE: 0.0735 | OE: 0.0000
Epoch 7/200 | Train Loss: 3.3023 | Train Acc: 0.2482 | Val Acc: 0.3812 | ECE: 0.1140 | Adaptive ECE: 0.1140 | OE: 0.0000
Epoch 8/200 | Train Loss: 3.1547 | Train Acc: 0.2810 | Val Acc: 0.4020 | ECE: 0.0766 | Adaptive ECE: 0.0785 | OE: 0.0001
Epoch 9/200 | Train Loss: 3.0020 | Train Acc: 0.3182 | Val Acc: 0.4630 | ECE: 0.0874 | Adaptive ECE: 0.0874 | OE: 0.0000
Epoch 10/200 | Train Loss: 2.9938 | Train Acc: 0.3232 | Val Acc: 0.4492 | ECE: 0.0944 | Adaptive ECE: 0.0944 | OE: 0.0000
Epoch 11/200 | Train Loss: 2.8760 | Train Acc: 0.3532 | Val Acc: 0.4358 | ECE: 0.0860 | Adaptive ECE: 0.0860 | OE: 0.0000
Epoch 12/200 | Train Loss: 2.8770 | Train Acc: 0.3522 | Val Acc: 0.4416 | ECE: 0.0858 | Adaptive ECE: 0.0846 | OE: 0.0002
Epoch 13/200 | Train Loss: 2.8044 | Train Acc: 0.3732 | Val Acc: 0.4710 | ECE: 0.0655 | Adaptive ECE: 0.0657 | OE: 0.0000
Epoch 14/200 | Train Loss: 2.7869 | Train Acc: 0.3777 | Val Acc: 0.4556 | ECE: 0.0727 | Adaptive ECE: 0.0726 | OE: 0.0000
Epoch 15/200 | Train Loss: 2.7611 | Train Acc: 0.3834 | Val Acc: 0.4714 | ECE: 0.0786 | Adaptive ECE: 0.0784 | OE: 0.0000
Epoch 16/200 | Train Loss: 2.7369 | Train Acc: 0.3915 | Val Acc: 0.5034 | ECE: 0.1100 | Adaptive ECE: 0.1100 | OE: 0.0000
Epoch 17/200 | Train Loss: 2.7167 | Train Acc: 0.3949 | Val Acc: 0.5180 | ECE: 0.0714 | Adaptive ECE: 0.0714 | OE: 0.0000
Epoch 18/200 | Train Loss: 2.7271 | Train Acc: 0.3949 | Val Acc: 0.4804 | ECE: 0.0482 | Adaptive ECE: 0.0470 | OE: 0.0004
Epoch 19/200 | Train Loss: 2.7154 | Train Acc: 0.3973 | Val Acc: 0.4994 | ECE: 0.0693 | Adaptive ECE: 0.0693 | OE: 0.0000
Epoch 20/200 | Train Loss: 2.6650 | Train Acc: 0.4109 | Val Acc: 0.5154 | ECE: 0.0694 | Adaptive ECE: 0.0691 | OE: 0.0000
Epoch 21/200 | Train Loss: 2.6624 | Train Acc: 0.4092 | Val Acc: 0.4646 | ECE: 0.0537 | Adaptive ECE: 0.0535 | OE: 0.0000
Epoch 22/200 | Train Loss: 2.5746 | Train Acc: 0.4273 | Val Acc: 0.5460 | ECE: 0.0526 | Adaptive ECE: 0.0527 | OE: 0.0000
Epoch 23/200 | Train Loss: 2.6044 | Train Acc: 0.4256 | Val Acc: 0.5414 | ECE: 0.1101 | Adaptive ECE: 0.1101 | OE: 0.0000
Epoch 24/200 | Train Loss: 2.6313 | Train Acc: 0.4194 | Val Acc: 0.5350 | ECE: 0.1675 | Adaptive ECE: 0.1675 | OE: 0.0000
Epoch 25/200 | Train Loss: 2.5822 | Train Acc: 0.4300 | Val Acc: 0.5246 | ECE: 0.1173 | Adaptive ECE: 0.1173 | OE: 0.0000
Epoch 26/200 | Train Loss: 2.6131 | Train Acc: 0.4218 | Val Acc: 0.5518 | ECE: 0.0920 | Adaptive ECE: 0.0920 | OE: 0.0000
