Model,Accuracy,NLL,ECE
Temperature_scaling,40.68,2.2213,0.0462
Platt_scaling,40.8,2.2115,0.0169
Isotonic_scaling,0.48,1.8909,0.0286
Platt_scaling,58.36,1.5703,0.0682
Platt_scaling,43.12,2.1868,0.0451
Isotonic_scaling,0.62,1.3562,0.0426
Isotonic_scaling,0.62,1.3435,0.0442
Isotonic_scaling,0.47,1.9472,0.0165
Isotonic_scaling,0.01,4.5953,0.0
Isotonic_scaling,0.75,0.8736,0.0397
Isotonic_scaling,0.76,0.9151,0.0522
Isotonic_scaling,0.75,0.9264,0.0526
Isotonic_scaling,0.73,1.1412,0.0471
Platt_scaling,58.1,1.5651,0.064
Platt_scaling,43.12,2.1868,0.0451
Platt_scaling,1.3,4.6093,0.0013
Platt_scaling,73.12,1.0719,0.0494
Platt_scaling,73.18,1.1095,0.0365
Platt_scaling,72.28,1.1086,0.0416
Platt_scaling,70.78,1.3880,0.1313
